Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S45982507,Black-bellied Whistling-Duck,Dendrocygna autumnalis,230,1,US-TX,Collin,L574289,Devine Lake Park,30.5832667,-97.8826046,2021-01-03,10:10 AM,eBird - Traveling Count,29,1,.563,,1,,,"78 degrees, partly cloudy, slight breeze.",
S30231922,Fulvous Whistling-Duck,Dendrocygna bicolor,235,3,US-TX,Galveston,L716139,Rockport- Cape Valero Drive,28.0421467,-97.1168125,2014-01-18,05:30 PM,eBird - Traveling Count,28,1,2.414,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65",
S29147372,Fulvous Whistling-Duck,Dendrocygna bicolor,235,40,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2018-10-19,07:15 AM,eBird - Traveling Count,132,1,4.023,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S62742246,Fulvous Whistling-Duck,Dendrocygna bicolor,235,2,US-TX,Brewster,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2018-02-04,08:50 AM,eBird - Traveling Count,212,1,4.509,,1,,,"70 degrees, overcast, wind 5-10 mph.",
S26676541,Snow Goose,Anser caerulescens,252,50,US-TX,Galveston,L130767,Aransas NWR (CTC 037) (Aransas Co.),28.3108004,-96.8011664,2018-06-30,11:55 AM,eBird - Traveling Count,173,1,24.14,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S62808895,Snow Goose,Anser caerulescens,252,24,US-TX,Aransas,L129005,Laguna Atascosa NWR (LTC 024),26.2295776,-97.3466982,2016-04-24,09:29 AM,eBird - Traveling Count,95,1,4.072,,1,,,,
S62742246,Snow Goose,Anser caerulescens,252,90,US-TX,Brewster,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2018-02-04,08:50 AM,eBird - Traveling Count,212,1,4.509,,1,,,"70 degrees, overcast, wind 5-10 mph.",
S33128955,Greater White-fronted Goose,Anser albifrons,267,6,US-TX,Williamson,L1437688,Canyon Lake--Overlook Park/SE Nature trails,29.8603424,-98.1966476,2018-05-24,09:29 AM,eBird - Traveling Count,15,1,.322,,1,,Flyovers,,
S53676011,Canada Goose,Branta canadensis,319,2,US-TX,Tarrant,L8826128,Serenity Lane Pond,33.157787,-96.620369,2015-07-24,02:21 PM,eBird - Stationary Count,2,1,,,1,,,,
S28539460,Canada Goose,Branta canadensis,319,3,US-TX,Williamson,L4421723,FM 311,29.8428689,-98.3585961,2017-12-01,08:30 AM,eBird - Traveling Count,30,1,.966,,1,,flyovers,,
S53651279,Canada Goose,Branta canadensis,319,6,US-TX,Bastrop,L775386,McInnish Park,32.9635946,-96.9416428,2014-07-09,05:15 PM,eBird - Traveling Count,71,1,1.609,,1,,,"77 degrees, clear, little to no wind.",
S54581782,Canada Goose,Branta canadensis,319,3,US-TX,Brazoria,L366519,Lewisville Lake Park,33.0703978,-96.9915962,2017-12-23,09:58 AM,eBird - Traveling Count,34,1,1.609,,1,,,,
S24378244,Canada Goose,Branta canadensis,319,X,US-CA,Santa Clara,L231517,Don Edwards NWR (SCL Co.) (please use a more specific hotspot where possible),37.4541093,-121.974181,2017-04-21,11:50 AM,eBird - Traveling Count,97,1,1.931,,1,,,"<br />Submitted from eBird for iOS, version 1.0.1 Build 5",
S65224353,Canada Goose,Branta canadensis,319,2,US-TX,Bexar,L122362,Village Creek Drying Beds (PPW-W 083),32.7842795,-97.1266181,2017-07-25,05:26 PM,eBird - Traveling Count,30,1,.851,,1,,,,
S62586921,Egyptian Goose,Alopochen aegyptiaca,391,2,US-TX,Dallas,L956160,Brackenridge Park--Joske Pavilion & Lambert Beach,29.4629383,-98.4698155,2017-07-15,08:38 AM,eBird - Traveling Count,68,1,1.931,,1,,,"45-55 degrees, clear, little to no wind.",
S33128153,Egyptian Goose,Alopochen aegyptiaca,391,2,US-TX,Williamson,L247123,Canyon Lake--Canyon Pk (HOTE 074),29.9097001,-98.2211248,2018-05-24,08:07 AM,eBird - Traveling Count,37,1,.402,,1,,,,
S50138648,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),416,X,US-TX,Dallas,L284333,Live Oak City Park,29.5433942,-98.3303185,2017-03-08,05:05 PM,eBird - Traveling Count,32,1,.402,,1,,,,
S53673005,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),416,2,US-TX,Tarrant,L276308,Plano Outdoor Learning Ctr./Woodruff Pk N.,33.0364889,-96.6640522,2015-07-24,11:45 AM,eBird - Traveling Count,78,1,2.816,,1,,,,
S42485725,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),416,3,US-TX,Williamson,L247135,Landa Park (HOTE 069),29.7117824,-98.1356484,2016-08-08,08:21 AM,eBird - Traveling Count,135,1,1.127,,1,,,Spent most time in Panther Canyon.,
S36968939,Wood Duck,Aix sponsa,423,2,US-TX,Comal,L5854930,1441 (Private),30.159205,-97.3144913,2018-04-22,07:50 AM,eBird - Traveling Count,86,1,1.207,,1,,,"65 degrees, clear skies, little to no wind.",
S53681362,Wood Duck,Aix sponsa,423,2,US-TX,Tarrant,L207868,Heard Nat. Sci. Mus.& Wildlife Sanct,33.1584503,-96.6153376,2015-07-24,02:36 PM,eBird - Traveling Count,108,1,3.219,,1,,,"54 degrees, overcast, wind 0-10 mph.",
S26640826,Wood Duck,Aix sponsa,423,13,US-TX,Williamson,L247135,Landa Park (HOTE 069),29.7117824,-98.1356484,2019-04-05,07:40 AM,eBird - Traveling Count,145,1,.805,,3,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S24395893,Wood Duck,Aix sponsa,423,1,US-CA,Santa Cruz,L2745685,Henry Cowell Redwoods SP--River Trail,37.0388231,-122.0642397,2016-03-27,02:22 PM,eBird - Traveling Count,137,1,2.414,,1,,River Trail,"<br />Submitted from eBird for iOS, version 1.0.1 Build 5",
S65225330,Wood Duck,Aix sponsa,423,1,US-TX,Bexar,L227485,River Legacy Park,32.7828445,-97.1163169,2017-07-25,06:12 PM,eBird - Traveling Count,29,1,.857,,1,,Flyover,,
S26676541,Blue-winged Teal,Spatula discors,450,4,US-TX,Galveston,L130767,Aransas NWR (CTC 037) (Aransas Co.),28.3108004,-96.8011664,2018-06-30,11:55 AM,eBird - Traveling Count,173,1,24.14,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S67680025,Blue-winged Teal,Spatula discors,450,2,US-TX,Comal,L11225389,Double Eagle Ranch Dr. (Private),30.1569812,-97.4866146,2019-05-11,07:35 AM,eBird - Traveling Count,55,1,1.609,,1,,,"68 degrees, clear sky, little to no wind.",
S33349374,Blue-winged Teal,Spatula discors,450,4,US-TX,Dallas,L275885,Braunig Lake (HOTE 101),29.2518777,-98.3931431,2019-12-28,03:35 PM,eBird - Traveling Count,75,1,.644,,2,,,,
S41032648,Blue-winged Teal,Spatula discors,450,4,US-TX,Cameron,L1022479,"FLNG ponds, Quintana",28.9301953,-95.3144646,2018-06-28,01:00 PM,eBird - Casual Observation,,0,,,1,,,,
S29494588,Blue-winged Teal,Spatula discors,450,4,US-TX,Denton,L1052368,Big Bend NP--Daniel's Ranch Rd.,29.1858683,-102.9679656,2015-07-25,07:50 AM,eBird - Traveling Count,150,1,1.207,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S35064944,Blue-winged Teal,Spatula discors,450,7,US-TX,Aransas,L129070,Sabal Palm Sanctuary (LTC 042),25.85233,-97.4176839,2020-02-24,10:19 AM,eBird - Traveling Count,75,1,1.609,,1,,,,
S29147372,Blue-winged Teal,Spatula discors,450,15,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2018-10-19,07:15 AM,eBird - Traveling Count,132,1,4.023,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S54553434,Blue-winged Teal,Spatula discors,450,4,US-TX,Tarrant,L8972523,Dublin Road,33.043611,-96.63208,2016-01-29,12:55 PM,eBird - Casual Observation,,0,,,1,,,,
S48629762,Blue-winged Teal,Spatula discors,450,10,US-TX,Williamson,L247135,Landa Park (HOTE 069),29.7117824,-98.1356484,2017-04-22,10:12 AM,eBird - Traveling Count,55,1,1.097,,1,,,,
S53641937,Blue-winged Teal,Spatula discors,450,19,US-TX,Bastrop,L600803,Trinity River Audubon Center,32.703804,-96.705555,2014-07-09,12:41 PM,eBird - Traveling Count,82,1,2.012,,1,,,"80 degrees, clear, wind 10-15 mph.",
S18494951,Blue-winged Teal,Spatula discors,450,4,US-TX,Chambers,L141106,Brazos Bend SP (UTC 117),29.3735739,-95.6230259,2018-12-26,05:15 PM,eBird - Traveling Count,150,1,3.219,,4,,,,
S36175201,Blue-winged Teal,Spatula discors,450,1,US-TX,Harris,L248017,Bolivar Flats Shorebird Sanctuary,29.3711371,-94.7287083,2016-03-24,01:50 PM,eBird - Traveling Count,60,1,.483,,2,,,,
S35026777,Blue-winged Teal,Spatula discors,450,1,US-TX,Brewster,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2014-03-12,06:50 AM,eBird - Traveling Count,320,1,3.219,,1,,,,
S28922958,Blue-winged Teal,Spatula discors,450,4,US-TX,Fort Bend,L225644,"Holt Paradise Pond, Port Aransas",27.8342117,-97.0720157,2016-06-14,01:55 PM,eBird - Traveling Count,54,1,.161,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S65224353,Blue-winged Teal,Spatula discors,450,3,US-TX,Bexar,L122362,Village Creek Drying Beds (PPW-W 083),32.7842795,-97.1266181,2017-07-25,05:26 PM,eBird - Traveling Count,30,1,.851,,1,,,,
S26954086,Cinnamon Teal,Spatula cyanoptera,451,1,US-TX,Dallas,L160563,Mitchell Lake Audubon Center (HOTE 103),29.3105956,-98.4996938,2018-10-30,08:33 AM,eBird - Traveling Count,320,1,8.047,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S35052101,Cinnamon Teal,Spatula cyanoptera,451,6,US-TX,Brewster,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2017-07-18,04:45 PM,eBird - Traveling Count,63,1,1.609,,1,,,,
S27195316,Cinnamon Teal,Spatula cyanoptera,451,1,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S33349374,Northern Shoveler,Spatula clypeata,464,6,US-TX,Dallas,L275885,Braunig Lake (HOTE 101),29.2518777,-98.3931431,2019-12-28,03:35 PM,eBird - Traveling Count,75,1,.644,,2,,,,
S44788180,Northern Shoveler,Spatula clypeata,464,2,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2014-11-04,07:24 AM,eBird - Traveling Count,324,1,14.484,,2,,,"65-70 degrees, overcast, wind 5-15 mph NE.",
S53681362,Northern Shoveler,Spatula clypeata,464,1,US-TX,Tarrant,L207868,Heard Nat. Sci. Mus.& Wildlife Sanct,33.1584503,-96.6153376,2015-07-24,02:36 PM,eBird - Traveling Count,108,1,3.219,,1,,,"54 degrees, overcast, wind 0-10 mph.",
S53651279,Northern Shoveler,Spatula clypeata,464,4,US-TX,Bastrop,L775386,McInnish Park,32.9635946,-96.9416428,2014-07-09,05:15 PM,eBird - Traveling Count,71,1,1.609,,1,,,"77 degrees, clear, little to no wind.",
S35026777,Northern Shoveler,Spatula clypeata,464,2,US-TX,Brewster,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2014-03-12,06:50 AM,eBird - Traveling Count,320,1,3.219,,1,,,,
S27195316,Northern Shoveler,Spatula clypeata,464,60,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S65224353,Northern Shoveler,Spatula clypeata,464,200,US-TX,Bexar,L122362,Village Creek Drying Beds (PPW-W 083),32.7842795,-97.1266181,2017-07-25,05:26 PM,eBird - Traveling Count,30,1,.851,,1,,,,
S34128948,Northern Shoveler,Spatula clypeata,464,1,US-TX,Collin,L294849,Granger Lake Area (HOTE 031),30.7001608,-97.3597466,2017-01-11,07:28 AM,eBird - Traveling Count,155,1,32.187,,2,,,,
S26676541,Gadwall,Mareca strepera,468,20,US-TX,Galveston,L130767,Aransas NWR (CTC 037) (Aransas Co.),28.3108004,-96.8011664,2018-06-30,11:55 AM,eBird - Traveling Count,173,1,24.14,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S62586921,Gadwall,Mareca strepera,468,5,US-TX,Dallas,L956160,Brackenridge Park--Joske Pavilion & Lambert Beach,29.4629383,-98.4698155,2017-07-15,08:38 AM,eBird - Traveling Count,68,1,1.931,,1,,,"45-55 degrees, clear, little to no wind.",
S17510369,Gadwall,Mareca strepera,468,X,US-TX,Denton,L1197426,Big Bend NP--Road b/w Cottonwood Campground & Santa Elena Canyon,29.1586075,-103.5528374,2016-02-19,07:00 AM,eBird - Casual Observation,0,1,,,5,,,,
S44788180,Gadwall,Mareca strepera,468,2,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2014-11-04,07:24 AM,eBird - Traveling Count,324,1,14.484,,2,,,"65-70 degrees, overcast, wind 5-15 mph NE.",
S54553434,Gadwall,Mareca strepera,468,2,US-TX,Tarrant,L8972523,Dublin Road,33.043611,-96.63208,2016-01-29,12:55 PM,eBird - Casual Observation,,0,,,1,,,,
S26908911,Gadwall,Mareca strepera,468,10,US-TX,Williamson,L247123,Canyon Lake--Canyon Pk (HOTE 074),29.9097001,-98.2211248,2014-04-19,10:22 AM,eBird - Traveling Count,50,1,1.287,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S53651279,Gadwall,Mareca strepera,468,3,US-TX,Bastrop,L775386,McInnish Park,32.9635946,-96.9416428,2014-07-09,05:15 PM,eBird - Traveling Count,71,1,1.609,,1,,,"77 degrees, clear, little to no wind.",
S35026777,Gadwall,Mareca strepera,468,4,US-TX,Brewster,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2014-03-12,06:50 AM,eBird - Traveling Count,320,1,3.219,,1,,,,
S27195316,Gadwall,Mareca strepera,468,3,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S65224353,Gadwall,Mareca strepera,468,24,US-TX,Bexar,L122362,Village Creek Drying Beds (PPW-W 083),32.7842795,-97.1266181,2017-07-25,05:26 PM,eBird - Traveling Count,30,1,.851,,1,,,,
S27323338,Gadwall,Mareca strepera,468,8,US-TX,Collin,L4221345,CR 352,30.743816,-97.386564,2019-04-20,01:00 PM,eBird - Casual Observation,0,0,,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S26676541,American Wigeon,Mareca americana,477,30,US-TX,Galveston,L130767,Aransas NWR (CTC 037) (Aransas Co.),28.3108004,-96.8011664,2018-06-30,11:55 AM,eBird - Traveling Count,173,1,24.14,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S28519024,American Wigeon,Mareca americana,477,3,US-TX,Dallas,L160563,Mitchell Lake Audubon Center (HOTE 103),29.3105956,-98.4996938,2017-04-23,09:59 AM,eBird - Traveling Count,206,1,3.219,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S62753017,American Wigeon,Mareca americana,477,2,US-TX,Aransas,L770565,South Padre Is.--Birding and Nature Center,26.1374859,-97.1735573,2018-02-04,02:55 PM,eBird - Traveling Count,93,1,1.287,,1,,,,
S53644805,American Wigeon,Mareca americana,477,1,US-TX,Bastrop,L270567,White Rock Lake & Old Fish Hatchery (PPW-W 086),32.8156276,-96.7264652,2014-07-09,02:46 PM,eBird - Traveling Count,50,1,1.207,,1,,,,
S35026777,American Wigeon,Mareca americana,477,2,US-TX,Brewster,L128890,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,2014-03-12,06:50 AM,eBird - Traveling Count,320,1,3.219,,1,,,,
S27195316,American Wigeon,Mareca americana,477,2,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S27323320,American Wigeon,Mareca americana,477,15,US-TX,Collin,L4221409,CR 352,30.7631637,-97.3782393,2019-04-20,12:20 PM,eBird - Traveling Count,10,1,.805,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S33349374,Mallard,Anas platyrhynchos,505,2,US-TX,Dallas,L275885,Braunig Lake (HOTE 101),29.2518777,-98.3931431,2019-12-28,03:35 PM,eBird - Traveling Count,75,1,.644,,2,,,,
S38185895,Mallard,Anas platyrhynchos,505,6,US-AZ,Coconino,L269402,Kaibab NF--Kaibab Lake,35.2845,-112.155,2020-07-01,05:55 AM,eBird - Traveling Count,110,1,.805,,1,,,,
S46665409,Mallard,Anas platyrhynchos,505,X,US-TX,Tarrant,L207868,Heard Nat. Sci. Mus.& Wildlife Sanct,33.1584503,-96.6153376,2021-04-17,04:00 PM,Historical,120,0,,,,,,2013 Christmas Bird Count,
S16429272,Mallard,Anas platyrhynchos,505,3,US-TX,Williamson,L1437688,Canyon Lake--Overlook Park/SE Nature trails,29.8603424,-98.1966476,2018-04-21,04:35 PM,eBird - Traveling Count,70,1,1.609,,2,,,"Temperature 64 degrees. Sunny, no clouds. Wind 10mph.",
S65026876,Mallard,Anas platyrhynchos,505,61,US-TX,Bastrop,L4637943,Ronald Kirk/Continental Ave. Pedestrian Bridge area,32.7811049,-96.8223596,2021-07-22,05:34 PM,eBird - Traveling Count,44,1,1.609,,1,,,,
S54580292,Mallard,Anas platyrhynchos,505,2,US-TX,Brazoria,L1050285,Lewisville Lake Environmental Learning Area (LLELA),33.0662579,-96.9750008,2017-12-23,08:28 AM,eBird - Traveling Count,68,1,5.529,,1,,,,
S38228193,Mallard,Anas platyrhynchos,505,3,US-CA,Santa Clara,L370800,Alum Rock Park,37.3950846,-121.8036175,2017-05-18,07:40 PM,eBird - Traveling Count,55,1,.805,,2,,,,
S27323320,Mallard,Anas platyrhynchos,505,2,US-TX,Collin,L4221409,CR 352,30.7631637,-97.3782393,2019-04-20,12:20 PM,eBird - Traveling Count,10,1,.805,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S62586921,Mallard (Domestic type),Anas platyrhynchos (Domestic type),508,16,US-TX,Dallas,L956160,Brackenridge Park--Joske Pavilion & Lambert Beach,29.4629383,-98.4698155,2017-07-15,08:38 AM,eBird - Traveling Count,68,1,1.931,,1,,,"45-55 degrees, clear, little to no wind.",
S42485725,Mallard (Domestic type),Anas platyrhynchos (Domestic type),508,7,US-TX,Williamson,L247135,Landa Park (HOTE 069),29.7117824,-98.1356484,2016-08-08,08:21 AM,eBird - Traveling Count,135,1,1.127,,1,,,Spent most time in Panther Canyon.,
S17510369,Mallard/Mexican Duck,Anas platyrhynchos/diazi,526,X,US-TX,Denton,L1197426,Big Bend NP--Road b/w Cottonwood Campground & Santa Elena Canyon,29.1586075,-103.5528374,2016-02-19,07:00 AM,eBird - Casual Observation,0,1,,,5,,,,
S62705798,Mallard/Mexican Duck,Anas platyrhynchos/diazi,526,1,US-TX,Brewster,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2014-07-10,08:11 AM,eBird - Traveling Count,279,1,7.789,,1,,,"70-78 degrees, overcast, wind 5-15 mph S.",
S30230855,Mottled Duck,Anas fulvigula,531,1,US-TX,Galveston,L338888,Rockport Beach Park,28.0308958,-97.0371276,2014-01-18,03:05 PM,eBird - Traveling Count,62,1,.805,,1,,,"<br />Submitted from eBird for iOS, version 1.2.1 Build 65",
S31872803,Mottled Duck,Anas fulvigula,531,2,US-TX,Aransas,L770565,South Padre Is.--Birding and Nature Center,26.1374859,-97.1735573,2019-04-04,11:00 AM,eBird - Traveling Count,33,1,.161,,1,,,,
S36169788,Mottled Duck,Anas fulvigula,531,2,US-TX,Hidalgo,L128874,Anahuac NWR (UTC 049),29.6148414,-94.5344353,2016-03-24,08:22 AM,eBird - Traveling Count,155,1,2.414,,1,,,,
S33589249,Mottled Duck,Anas fulvigula,531,4,US-TX,Nueces,L366758,Archbishop Fiorenza Park--W.of Eldridge Pkwy (Eldridge Retention Basin),29.7193575,-95.6289482,2018-02-03,03:41 PM,eBird - Traveling Count,81,1,1.287,,1,,,,
S62714013,Mottled Duck,Anas fulvigula,531,13,US-TX,Brewster,L249889,Edinburg Scenic Wetlands WBC (LTC 061),26.2905822,-98.1351909,2014-07-10,02:35 PM,eBird - Traveling Count,110,1,.966,,1,,,,
S28922958,Mottled Duck,Anas fulvigula,531,1,US-TX,Fort Bend,L225644,"Holt Paradise Pond, Port Aransas",27.8342117,-97.0720157,2016-06-14,01:55 PM,eBird - Traveling Count,54,1,.161,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S26676541,Northern Pintail,Anas acuta,548,3,US-TX,Galveston,L130767,Aransas NWR (CTC 037) (Aransas Co.),28.3108004,-96.8011664,2018-06-30,11:55 AM,eBird - Traveling Count,173,1,24.14,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S26954086,Northern Pintail,Anas acuta,548,150,US-TX,Dallas,L160563,Mitchell Lake Audubon Center (HOTE 103),29.3105956,-98.4996938,2018-10-30,08:33 AM,eBird - Traveling Count,320,1,8.047,,1,,,"<br />Submitted from eBird for iOS, version 1.1.4 Build 34",
S62753017,Northern Pintail,Anas acuta,548,7,US-TX,Aransas,L770565,South Padre Is.--Birding and Nature Center,26.1374859,-97.1735573,2018-02-04,02:55 PM,eBird - Traveling Count,93,1,1.287,,1,,,,
S65026876,Northern Pintail,Anas acuta,548,1,US-TX,Bastrop,L4637943,Ronald Kirk/Continental Ave. Pedestrian Bridge area,32.7811049,-96.8223596,2021-07-22,05:34 PM,eBird - Traveling Count,44,1,1.609,,1,,,,
S27709055,Northern Pintail,Anas acuta,548,3,US-TX,Brewster,L129085,Santa Ana NWR (LTC 059),26.0813003,-98.1351399,2016-05-12,12:07 PM,eBird - Traveling Count,146,1,1.609,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S27195316,Northern Pintail,Anas acuta,548,7,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
S65224353,Northern Pintail,Anas acuta,548,2,US-TX,Bexar,L122362,Village Creek Drying Beds (PPW-W 083),32.7842795,-97.1266181,2017-07-25,05:26 PM,eBird - Traveling Count,30,1,.851,,1,,,,
S33349374,Green-winged Teal,Anas crecca,563,2,US-TX,Dallas,L275885,Braunig Lake (HOTE 101),29.2518777,-98.3931431,2019-12-28,03:35 PM,eBird - Traveling Count,75,1,.644,,2,,,,
S17510369,Green-winged Teal,Anas crecca,563,X,US-TX,Denton,L1197426,Big Bend NP--Road b/w Cottonwood Campground & Santa Elena Canyon,29.1586075,-103.5528374,2016-02-19,07:00 AM,eBird - Casual Observation,0,1,,,5,,,,
S34022576,Green-winged Teal,Anas crecca,563,8,US-TX,Williamson,L247123,Canyon Lake--Canyon Pk (HOTE 074),29.9097001,-98.2211248,2016-02-21,02:15 PM,eBird - Traveling Count,28,1,.161,,1,,,,
S35052101,Green-winged Teal,Anas crecca,563,25,US-TX,Brewster,L259855,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,2017-07-18,04:45 PM,eBird - Traveling Count,63,1,1.609,,1,,,,
S27195316,Green-winged Teal,Anas crecca,563,70,US-TX,Fort Bend,L422541,Leonabelle Turnbull Birding Ctr. (CTC 057),27.8275297,-97.0789558,2019-05-14,03:26 PM,eBird - Traveling Count,69,1,.483,,1,,,"<br />Submitted from eBird for iOS, version 1.1.5 Build 44",
